batch_size,conv_dropout,conv_filters,dense_dropout,dense_size,learning_rate,val_auc
64,0.2,16,0.3,32,0.001,0.8194208269867114
64,0.2,16,0.3,32,0.0005,0.8199275992699196
64,0.2,16,0.3,32,0.0001,0.8160474059824571
64,0.2,16,0.3,64,0.001,0.8223720061452807
64,0.2,16,0.3,64,0.0005,0.8212554657545039
64,0.2,16,0.3,64,0.0001,0.820128666815484
64,0.2,16,0.3,128,0.001,0.8219961329376543
64,0.2,16,0.3,128,0.0005,0.8230642529807238
64,0.2,16,0.3,128,0.0001,0.8215049536477756
64,0.2,16,0.4,32,0.001,0.8168032558170072
64,0.2,16,0.4,32,0.0005,0.8164963200535743
64,0.2,16,0.4,32,0.0001,0.8150289373128841
64,0.2,16,0.4,64,0.001,0.8189940713797994
64,0.2,16,0.4,64,0.0005,0.8206600596144755
64,0.2,16,0.4,64,0.0001,0.8192694108146437
64,0.2,16,0.4,128,0.001,0.8210400362413992
64,0.2,16,0.4,128,0.0005,0.8218886233520668
64,0.2,16,0.4,128,0.0001,0.8220589152529019
64,0.2,16,0.5,32,0.001,0.8185993224434056
64,0.2,16,0.5,32,0.0005,0.8145968472608855
64,0.2,16,0.5,32,0.0001,0.8143204819712169
64,0.2,16,0.5,64,0.001,0.8199969470560429
64,0.2,16,0.5,64,0.0005,0.8190876293397762
64,0.2,16,0.5,64,0.0001,0.8176532791244289
64,0.2,16,0.5,128,0.001,0.8235135773937706
64,0.2,16,0.5,128,0.0005,0.821580046220915
64,0.2,16,0.5,128,0.0001,0.8208642047245128
64,0.2,32,0.3,32,0.001,0.8183888170334577
64,0.2,32,0.3,32,0.0005,0.8202390487945797
64,0.2,32,0.3,32,0.0001,0.8157191324386784
64,0.2,32,0.3,64,0.001,0.8226965866116918
64,0.2,32,0.3,64,0.0005,0.8211327735175167
64,0.2,32,0.3,64,0.0001,0.8196165600871894
64,0.2,32,0.3,128,0.001,0.8212259211355639
64,0.2,32,0.3,128,0.0005,0.8235894906507696
64,0.2,32,0.3,128,0.0001,0.822422067860707
64,0.2,32,0.4,32,0.001,0.8205365466936287
64,0.2,32,0.4,32,0.0005,0.8193520947134828
64,0.2,32,0.4,32,0.0001,0.8167991523977098
64,0.2,32,0.4,64,0.001,0.8222587517726772
64,0.2,32,0.4,64,0.0005,0.820447502494879
64,0.2,32,0.4,64,0.0001,0.8211180012080467
64,0.2,32,0.4,128,0.001,0.8244212537423184
64,0.2,32,0.4,128,0.0005,0.8244081228005672
64,0.2,32,0.4,128,0.0001,0.8222386450181208
64,0.2,32,0.5,32,0.001,0.8169936544723988
64,0.2,32,0.5,32,0.0005,0.8145763301643993
64,0.2,32,0.5,32,0.0001,0.8154163000945427
64,0.2,32,0.5,64,0.001,0.8221516525290193
64,0.2,32,0.5,64,0.0005,0.8192160663637795
64,0.2,32,0.5,64,0.0001,0.8183051072797941
64,0.2,32,0.5,128,0.001,0.8231319593991282
64,0.2,32,0.5,128,0.0005,0.8214216542360419
64,0.2,32,0.5,128,0.0001,0.8206083565313305
64,0.2,64,0.3,32,0.001,0.8187361714769683
64,0.2,64,0.3,32,0.0005,0.8180433091286308
64,0.2,64,0.3,32,0.0001,0.8181284550790483
64,0.2,64,0.3,64,0.001,0.8227384414885235
64,0.2,64,0.3,64,0.0005,0.8202415108461578
64,0.2,64,0.3,64,0.0001,0.820828504976627
64,0.2,64,0.3,128,0.001,0.8231926900047272
64,0.2,64,0.3,128,0.0005,0.8239499760360314
64,0.2,64,0.3,128,0.0001,0.8245353287987814
64,0.2,64,0.4,32,0.001,0.8187757694731866
64,0.2,64,0.4,32,0.0005,0.8182583282998057
64,0.2,64,0.4,32,0.0001,0.8173444968223121
64,0.2,64,0.4,64,0.001,0.8221377009034088
64,0.2,64,0.4,64,0.0005,0.8212837793476547
64,0.2,64,0.4,64,0.0001,0.8206255908923789
64,0.2,64,0.4,128,0.001,0.8226067217290823
64,0.2,64,0.4,128,0.0005,0.8225989252324176
64,0.2,64,0.4,128,0.0001,0.823274348048742
64,0.2,64,0.5,32,0.001,0.8168362883423499
64,0.2,64,0.5,32,0.0005,0.8144698464336363
64,0.2,64,0.5,32,0.0001,0.817085160722727
64,0.2,64,0.5,64,0.001,0.8200390071038396
64,0.2,64,0.5,64,0.0005,0.8183531172855718
64,0.2,64,0.5,64,0.0001,0.8203785650506854
64,0.2,64,0.5,128,0.001,0.8199025684122065
64,0.2,64,0.5,128,0.0005,0.8223843164031723
64,0.2,64,0.5,128,0.0001,0.8235156291034192
64,0.3,16,0.3,32,0.001,0.8207597727033983
64,0.3,16,0.3,32,0.0005,0.8163420314879984
64,0.3,16,0.3,32,0.0001,0.8159320999002049
64,0.3,16,0.3,64,0.001,0.8196046601712275
64,0.3,16,0.3,64,0.0005,0.8211440579205841
64,0.3,16,0.3,64,0.0001,0.8200839395451442
64,0.3,16,0.3,128,0.001,0.8222739344240769
64,0.3,16,0.3,128,0.0005,0.8224774640212197
64,0.3,16,0.3,128,0.0001,0.8221069252586796
64,0.3,16,0.4,32,0.001,0.8188237794789642
64,0.3,16,0.4,32,0.0005,0.817657587714691
64,0.3,16,0.4,32,0.0001,0.8153572108566626
64,0.3,16,0.4,64,0.001,0.8208307618572405
64,0.3,16,0.4,64,0.0005,0.8210178777771943
64,0.3,16,0.4,64,0.0001,0.8190248470245287
64,0.3,16,0.4,128,0.001,0.8227651137139556
64,0.3,16,0.4,128,0.0005,0.823142628289301
64,0.3,16,0.4,128,0.0001,0.8208028586060192
64,0.3,16,0.5,32,0.001,0.8155943884920427
64,0.3,16,0.5,32,0.0005,0.8159197896423132
64,0.3,16,0.5,32,0.0001,0.8087338817690004
64,0.3,16,0.5,64,0.001,0.8196395392352539
64,0.3,16,0.5,64,0.0005,0.818868506749304
64,0.3,16,0.5,64,0.0001,0.8165254543305845
64,0.3,16,0.5,128,0.001,0.8213646167078102
64,0.3,16,0.5,128,0.0005,0.8197285834340039
64,0.3,16,0.5,128,0.0001,0.8195012540049371
64,0.3,32,0.3,32,0.001,0.8179780647618048
64,0.3,32,0.3,32,0.0005,0.8179985818582909
64,0.3,32,0.3,32,0.0001,0.8196871388991018
64,0.3,32,0.3,64,0.001,0.8224011404222911
64,0.3,32,0.3,64,0.0005,0.8238459543568465
64,0.3,32,0.3,64,0.0001,0.8204454507852303
64,0.3,32,0.3,128,0.001,0.8233400027574977
64,0.3,32,0.3,128,0.0005,0.8236756624560113
64,0.3,32,0.3,128,0.0001,0.8233231787383792
64,0.3,32,0.4,32,0.001,0.8190695742948685
64,0.3,32,0.4,32,0.0005,0.8187035492935554
64,0.3,32,0.4,32,0.0001,0.8177084701139766
64,0.3,32,0.4,64,0.001,0.8211701146331214
64,0.3,32,0.4,64,0.0005,0.8210269052996481
64,0.3,32,0.4,64,0.0001,0.8199546818372814
64,0.3,32,0.4,128,0.001,0.8201171772414517
64,0.3,32,0.4,128,0.0005,0.822662117889595
64,0.3,32,0.4,128,0.0001,0.8219009336099585
64,0.3,32,0.5,32,0.001,0.8150962333893585
64,0.3,32,0.5,32,0.0005,0.816462672015337
64,0.3,32,0.5,32,0.0001,0.8144889273333684
64,0.3,32,0.5,64,0.001,0.8213715925206155
64,0.3,32,0.5,64,0.0005,0.8198836926834393
64,0.3,32,0.5,64,0.0001,0.818723245706182
64,0.3,32,0.5,128,0.001,0.8233182546352225
64,0.3,32,0.5,128,0.0005,0.8224413539314039
64,0.3,32,0.5,128,0.0001,0.8198319896002941
64,0.3,64,0.3,32,0.001,0.8201175875833815
64,0.3,64,0.3,32,0.0005,0.8167080564893114
64,0.3,64,0.3,32,0.0001,0.8175328437680551
64,0.3,64,0.3,64,0.001,0.8209786901229055
64,0.3,64,0.3,64,0.0005,0.8230925665738748
64,0.3,64,0.3,64,0.0001,0.8209234991333578
64,0.3,64,0.3,128,0.001,0.8226969969536215
64,0.3,64,0.3,128,0.0005,0.8221073356006093
64,0.3,64,0.3,128,0.0001,0.8228377442355166
64,0.3,64,0.4,32,0.001,0.8177745351646619
64,0.3,64,0.4,32,0.0005,0.819458578444246
64,0.3,64,0.4,32,0.0001,0.8170043233625714
64,0.3,64,0.4,64,0.001,0.8230072154524922
64,0.3,64,0.4,64,0.0005,0.8223004014785441
64,0.3,64,0.4,64,0.0001,0.820348199747886
64,0.3,64,0.4,128,0.001,0.8228233822679762
64,0.3,64,0.4,128,0.0005,0.8236933071589895
64,0.3,64,0.4,128,0.0001,0.8224360194863175
64,0.3,64,0.5,32,0.001,0.8173719897316036
64,0.3,64,0.5,32,0.0005,0.8180268954514417
64,0.3,64,0.5,32,0.0001,0.8158258213404066
64,0.3,64,0.5,64,0.001,0.8205271088292452
64,0.3,64,0.5,64,0.0005,0.8190445434371554
64,0.3,64,0.5,64,0.0001,0.8206374908083408
64,0.3,64,0.5,128,0.001,0.8230314256263459
64,0.3,64,0.5,128,0.0005,0.8217926033405116
64,0.3,64,0.5,128,0.0001,0.8229879293817952
64,0.4,16,0.3,32,0.001,0.8217642897473607
64,0.4,16,0.3,32,0.0005,0.8188566068333422
64,0.4,16,0.3,32,0.0001,0.8168545485582226
64,0.4,16,0.3,64,0.001,0.8217724965859552
64,0.4,16,0.3,64,0.0005,0.820693502481748
64,0.4,16,0.3,64,0.0001,0.8187839763117812
64,0.4,16,0.3,128,0.001,0.8208750787856505
64,0.4,16,0.3,128,0.0005,0.8235213738904354
64,0.4,16,0.3,128,0.0001,0.819859072167656
64,0.4,16,0.4,32,0.001,0.8173020264325858
64,0.4,16,0.4,32,0.0005,0.8173046936551289
64,0.4,16,0.4,32,0.0001,0.8137833443852093
64,0.4,16,0.4,64,0.001,0.819971711027365
64,0.4,16,0.4,64,0.0005,0.8194245200640791
64,0.4,16,0.4,64,0.0001,0.8167207770891328
64,0.4,16,0.4,128,0.001,0.8214200128683229
